000001,9117
000001,3353
000001,2778
000001,4774
000001,3648
000001,9523
000001,6358
000001,1417
000002,1567
000002,1298
000002,9990
000002,5130
000002,6127
000002,6376
000002,4936
000002,2926
000003,2834
000003,8078
000003,698
000003,5260
000003,1923
000003,8903
000003,642
000003,4578
000003,2383
000004,3753
000004,5126
000004,5317
000004,4377
000004,9309
000005,6879
000005,4402
000005,8293
000005,2290
000006,6574
000006,4396
000006,3985
000006,6843
000006,4825
000006,9503
000007,6196
000007,7861
000007,4471
000007,1876
000008,1032
000008,4955
000008,9848
000008,6845
000008,7498
000008,2942
000008,5845
000008,1524
000008,1255
000009,526
000009,1763
000009,7978
000009,6566
000009,6395
000009,935
000009,5203
000009,700
000009,4615
000010,10000
000010,8900
000011,42
000012,9131
000012,3591
000012,5795
000012,6874
000013,5770
000013,7479
000013,355
000013,8333
000013,8733
000013,9795
000013,9034
000013,6669
000013,1640
000014,6295
000014,7007
000014,3288
000015,5107
000015,2801
000015,7193
000015,4715
000015,9444
000015,3364
000016,8333
000016,6755
000016,4820
000016,7121
000016,6219
000016,4140
000017,6092
000017,7308
000018,6532
000018,5325
000018,2605
000018,6862
000018,1113
000018,5767
000018,6666
000019,9844
000019,8274
000020,7649
000020,1212
000020,3839
000020,9431
000020,8620
000020,7937
000020,2973
000020,9097
000020,4982
000021,4637
000021,4960
000021,1805
000021,7276
000021,6032
000022,4986
000022,1383
000023,8369
000023,4961
000023,3944
000023,6089
000023,1513
000023,1079
000024,4274
000025,4875
000025,8831
000025,5178
000025,5576
000025,8300
000025,2444
000025,7294
000026,4108
000026,7833
000027,492
000027,9865
000027,2109
000027,8652
000027,996
000027,3018
000027,8091
000028,6921
000028,1192
000028,5787
000028,5951
000028,3043
000028,4766
000028,6098
000028,6190
000029,9238
000030,3572
000030,3443
000030,6592
000031,3082
000031,1981
000031,1098
000031,7823
000031,2004
000031,3157
000031,2310
000031,5329
000032,3055
000032,2605
000032,5524
000032,6860
000033,5330
000034,3622
000034,8019
000034,1529
000034,636
000035,12
000035,3053
000035,6554
000035,1812
000035,6674
000035,6534
000036,8290
000036,9042
000036,3946
000036,8690
000036,7390
000037,4945
000037,9392
000037,8142
000037,6573
000037,9359
000037,8744
000037,6378
000037,7755
000037,2628
000038,8731
000038,4125
000038,5969
000038,5386
000038,5791
000038,7010
000038,8327
000038,1127
000039,6377
000039,1440
000039,2471
000039,175
000040,4774
000040,588
000040,6408
000040,2227
000040,6303
000041,9527
000041,8991
000041,3336
000041,2192
000041,9499
000041,8844
000041,1838
000041,7803
000042,3319
000042,5608
000042,6222
000042,4780
000042,6539
000042,2107
000042,8655
000042,3736
000042,6466
000043,5637
000043,190
000043,91
000043,6015
000043,8872
000043,1731
000044,1554
000044,8823
000044,8995
000044,4759
000044,9467
000044,8657
000044,7187
000044,1841
000044,1672
000045,9470
000045,1609
000045,4619
000046,3938
000047,5662
000047,348
000047,8140
000047,3564
000047,357
000047,2010
000047,6998
000047,8894
000047,3415
000048,9042
000048,7525
000048,8094
000048,5912
000048,1015
000048,2442
000048,5892
000049,4691
000049,5871
000049,5846
000049,8156
000049,5266
000049,7294
000049,2642
000049,5382
000049,9316
000050,6800
000050,4434
