000001,000014,ACADEMY ACADEMY,PENELOPE GUINESS,25.99,0,001976
000002,000006,ACADEMY ACE,EWAN RICKMAN,20.99,0,006289
000003,000006,ACADEMY ADAPTATION,VIVIEN KAHN,28.99,0,007173
000004,000003,ACADEMY AFFAIR,ALAN MARX,14.99,0,008042
000005,000003,ACADEMY AFRICAN,CARRIE HANNAH,11.99,1,002183
000006,000009,ACADEMY AGENT,LISA SPACEK,15.99,0,005243
000007,000008,ACADEMY AIRPLANE,FRANCES WINFREY,25.99,0,007700
000008,000007,ACADEMY AIRPORT,FARRAH TOMEI,16.99,0,009191
000009,000002,ACADEMY ALABAMA,JULIETTE WEAVER,10.99,0,006633
000010,000015,ACADEMY ALADDIN,ANNETTE FREEMAN,9.99,0,000631
000011,000004,ACADEMY ALAMO,SOPHIA WINFREY,26.99,0,005398
000012,000007,ACADEMY ALASKA,JUDY REYNOLDS,23.99,0,000393
000013,000008,ACADEMY ALI,TIM WASHINGTON,24.99,0,007386
000014,000011,ACADEMY ALICE,MENA GABLE,12.99,0,008801
000015,000014,ACADEMY ALIEN,DORIS FONDA,27.99,0,006867
000016,000016,ACADEMY ALLEY,MARLON LUGOSI,27.99,0,009240
000017,000007,ACADEMY ALONE,MEL SILVERSTONE,28.99,0,002159
000018,000016,ACADEMY ALTER,CHARLIZE WAHLBERG,27.99,0,004320
000019,000010,ACADEMY AMADEUS,RALPH DREYFUSS,15.99,0,002262
000020,000004,ACADEMY AMELIE,KIM DOUGLAS,17.99,0,009069
000021,000002,ACADEMY AMERICAN,JON BULLOCK,24.99,0,009351
000022,000011,ACADEMY AMISTAD,NICOLE GOODING,16.99,0,002323
000023,000010,ACADEMY ANACONDA,CHARLTON DENCH,24.99,0,007935
000024,000003,ACADEMY ANALYZE,AUDREY POITIER,28.99,0,005216
000025,000003,ACADEMY ANGELS,REESE DENCH,24.99,0,009675
000026,000011,ACADEMY ANNIE,BOB PRESLEY,11.99,0,000783
000027,000002,ACADEMY ANONYMOUS,JESSICA DAFOE,26.99,0,007556
000028,000001,ACADEMY ANTHEM,ZERO CHASE,13.99,0,001255
000029,000016,ACADEMY ANTITRUST,SCARLETT BASINGER,10.99,0,009231
000030,000010,ACADEMY ANYTHING,CHRIS CRONYN,17.99,0,008197
000031,000006,ACADEMY APACHE,LAURA LANCASTER,18.99,0,000997
000032,000009,ACADEMY APOCALYPSE,FRED PRESLEY,29.99,0,008777
000033,000012,ACADEMY APOLLO,ANDY MCGREGOR,24.99,0,009254
000034,000014,ACADEMY ARABIA,WILLEM SORVINO,24.99,0,009836
000035,000011,ACADEMY ARACHNOPHOBIA,CHRIS JOHANSSON,26.99,0,000770
000036,000011,ACADEMY ARGONAUTS,LUCILLE DENIRO,13.99,0,003169
000037,000006,ACADEMY ARIZONA,AUDREY DEE,22.99,0,006512
000038,000009,ACADEMY ARK,FARRAH WINFREY,20.99,0,001133
000039,000008,ACADEMY ARMAGEDDON,UMA MALDEN,18.99,0,008477
000040,000007,ACADEMY ARMY,GREG AFFLECK,21.99,0,002339
000041,000011,ACADEMY ARSENIC,JOE HUSTON,15.99,0,001826
000042,000010,ACADEMY ARTIST,IAN BALL,23.99,0,006377
000043,000006,ACADEMY ATLANTIS,LIAM CRONYN,22.99,0,003284
000044,000012,ACADEMY ATTACKS,SYLVESTER DAFOE,23.99,0,002573
000045,000009,ACADEMY ATTRACTION,ELVIS BLANCHETT,27.99,0,000938
000046,000002,ACADEMY AUTUMN,LAURA GARCIA,21.99,0,002888
000047,000013,ACADEMY BABY,GLENN DRIVER,12.99,0,000036
000048,000014,ACADEMY BACKLASH,CUBA FONDA,18.99,0,009190
000049,000013,ACADEMY BADMAN,CARMEN OLIVIER,23.99,0,007743
000050,000016,ACADEMY BAKED,SALMA VOIGHT,13.99,0,005481
000051,000005,ACADEMY BALLOON,SPENCER TRACY,27.99,0,005762
000052,000003,ACADEMY BALLROOM,SALMA DIETRICH,19.99,0,008490
000053,000008,ACADEMY BANG,CLINT DUKAKIS,23.99,0,001391
000054,000010,ACADEMY BANGER,ROCK JACKMAN,24.99,0,002220
000055,000008,ACADEMY BARBARELLA,CATE BRODY,16.99,0,009319
000056,000015,ACADEMY BAREFOOT,ROCK MCDORMAND,26.99,0,003350
000057,000007,ACADEMY BASIC,LIAM MOORE,14.99,0,000726
000058,000002,ACADEMY BEACH,GWYNETH MIRANDA,15.99,0,000912
000059,000007,ACADEMY BEAR,LAUREN WASHINGTON,14.99,0,007618
000060,000008,ACADEMY BEAST,SHIRLEY CHASE,22.99,0,002079
000061,000009,ACADEMY BEAUTY,ROBERT HECHE,17.99,0,003261
000062,000012,ACADEMY BED,WILLIAM MCQUEEN,16.99,0,001361
